0.00, 0, 8889
0.00, 1, 8849
0.00, 2, 8871
0.00, 3, 8905
0.00, 4, 8903
0.00, 5, 8928
0.00, 6, 8967
0.00, 7, 8903
0.00, 8, 8908
0.00, 9, 8902
0.00, 10, 8935
0.00, 11, 8896
0.00, 12, 8888
0.00, 13, 9000
0.00, 14, 8925
0.00, 15, 8923
0.00, 16, 9132
0.00, 17, 8976
0.00, 18, 8965
0.00, 19, 8941
0.00, 20, 8970
0.00, 21, 8960
0.00, 22, 8894
0.00, 23, 8946
0.00, 24, 8923
0.00, 25, 8854
0.00, 26, 8898
0.00, 27, 8911
0.00, 28, 8934
0.00, 29, 8886
0.01, 0, 8937
0.01, 1, 8860
0.01, 2, 8793
0.01, 3, 8898
0.01, 4, 8886
0.01, 5, 8897
0.01, 6, 8923
0.01, 7, 8913
0.01, 8, 8905
0.01, 9, 8897
0.01, 10, 8861
0.01, 11, 8867
0.01, 12, 8942
0.01, 13, 8954
0.01, 14, 8830
0.01, 15, 8892
0.01, 16, 8793
0.01, 17, 8917
0.01, 18, 8936
0.01, 19, 8963
0.01, 20, 8871
0.01, 21, 8867
0.01, 22, 8936
0.01, 23, 8912
0.01, 24, 8911
0.01, 25, 8922
0.01, 26, 8904
0.01, 27, 8858
0.01, 28, 8872
0.01, 29, 8892
0.02, 0, 8863
0.02, 1, 8803
0.02, 2, 8858
0.02, 3, 8828
0.02, 4, 8839
0.02, 5, 8850
0.02, 6, 8920
0.02, 7, 8863
0.02, 8, 8847
0.02, 9, 8891
0.02, 10, 8862
0.02, 11, 8945
0.02, 12, 8801
0.02, 13, 8884
0.02, 14, 8908
0.02, 15, 8927
0.02, 16, 8901
0.02, 17, 8889
0.02, 18, 8877
0.02, 19, 8910
0.02, 20, 8916
0.02, 21, 8882
0.02, 22, 8906
0.02, 23, 8888
0.02, 24, 8892
0.02, 25, 8892
0.02, 26, 8889
0.02, 27, 8895
0.02, 28, 8863
0.02, 29, 8889
0.03, 0, 8878
0.03, 1, 8811
0.03, 2, 8810
0.03, 3, 8826
0.03, 4, 8809
0.03, 5, 8869
0.03, 6, 8882
0.03, 7, 8881
0.03, 8, 8895
0.03, 9, 8873
0.03, 10, 8869
0.03, 11, 8914
0.03, 12, 8860
0.03, 13, 8841
0.03, 14, 8879
0.03, 15, 8856
0.03, 16, 8943
0.03, 17, 8935
0.03, 18, 8901
0.03, 19, 8938
0.03, 20, 8921
0.03, 21, 8907
0.03, 22, 8891
0.03, 23, 8862
0.03, 24, 8923
0.03, 25, 8890
0.03, 26, 8889
0.03, 27, 8927
0.03, 28, 8875
0.03, 29, 8889
0.04, 0, 8887
0.04, 1, 8819
0.04, 2, 8871
0.04, 3, 8866
0.04, 4, 8891
0.04, 5, 8867
0.04, 6, 8809
0.04, 7, 8875
0.04, 8, 8866
0.04, 9, 8848
0.04, 10, 8871
0.04, 11, 8884
0.04, 12, 8867
0.04, 13, 8846
0.04, 14, 8908
0.04, 15, 8839
0.04, 16, 9105
0.04, 17, 8929
0.04, 18, 8892
0.04, 19, 8868
0.04, 20, 8869
0.04, 21, 9145
0.04, 22, 8853
0.04, 23, 8905
0.04, 24, 8861
0.04, 25, 8864
0.04, 26, 8862
0.04, 27, 8910
0.04, 28, 8859
0.04, 29, 8849
0.05, 0, 8908
0.05, 1, 8827
0.05, 2, 8809
0.05, 3, 8871
0.05, 4, 8840
0.05, 5, 8838
0.05, 6, 8837
0.05, 7, 8877
0.05, 8, 8872
0.05, 9, 8865
0.05, 10, 8917
0.05, 11, 8798
0.05, 12, 8857
0.05, 13, 8876
0.05, 14, 8857
0.05, 15, 8862
0.05, 16, 8889
0.05, 17, 8887
0.05, 18, 8912
0.05, 19, 8815
0.05, 20, 8859
0.05, 21, 8909
0.05, 22, 8892
0.05, 23, 8939
0.05, 24, 8881
0.05, 25, 8875
0.05, 26, 8884
0.05, 27, 8878
0.05, 28, 8916
0.05, 29, 8912
0.06, 0, 8944
0.06, 1, 8858
0.06, 2, 8849
0.06, 3, 8888
0.06, 4, 8850
0.06, 5, 8822
0.06, 6, 8894
0.06, 7, 8896
0.06, 8, 8864
0.06, 9, 8818
0.06, 10, 8872
0.06, 11, 8862
0.06, 12, 8905
0.06, 13, 8774
0.06, 14, 8827
0.06, 15, 8863
0.06, 16, 8875
0.06, 17, 8842
0.06, 18, 8850
0.06, 19, 8901
0.06, 20, 8840
0.06, 21, 8905
0.06, 22, 8906
0.06, 23, 8910
0.06, 24, 8886
0.06, 25, 8893
0.06, 26, 8901
0.06, 27, 8877
0.06, 28, 8869
0.06, 29, 8877
0.07, 0, 8910
0.07, 1, 8733
0.07, 2, 8762
0.07, 3, 8801
0.07, 4, 8861
0.07, 5, 8819
0.07, 6, 8803
0.07, 7, 8840
0.07, 8, 8887
0.07, 9, 8887
0.07, 10, 8858
0.07, 11, 8843
0.07, 12, 8881
0.07, 13, 8900
0.07, 14, 8837
0.07, 15, 8883
0.07, 16, 8889
0.07, 17, 8896
0.07, 18, 8884
0.07, 19, 8858
0.07, 20, 8896
0.07, 21, 8868
0.07, 22, 8868
0.07, 23, 8897
0.07, 24, 8902
0.07, 25, 8886
0.07, 26, 8784
0.07, 27, 8850
0.07, 28, 8888
0.07, 29, 8863
0.08, 0, 8873
0.08, 1, 8829
0.08, 2, 8808
0.08, 3, 8860
0.08, 4, 8868
0.08, 5, 8805
0.08, 6, 8873
0.08, 7, 9152
0.08, 8, 8854
0.08, 9, 8816
0.08, 10, 8875
0.08, 11, 8882
0.08, 12, 8879
0.08, 13, 8870
0.08, 14, 9170
0.08, 15, 8883
0.08, 16, 8820
0.08, 17, 8869
0.08, 18, 8815
0.08, 19, 8831
0.08, 20, 8856
0.08, 21, 8843
0.08, 22, 8869
0.08, 23, 8894
0.08, 24, 8869
0.08, 25, 8819
0.08, 26, 8843
0.08, 27, 8880
0.08, 28, 8878
0.08, 29, 8877
0.09, 0, 8842
0.09, 1, 8798
0.09, 2, 8868
0.09, 3, 8861
0.09, 4, 8826
0.09, 5, 8836
0.09, 6, 8834
0.09, 7, 8832
0.09, 8, 8874
0.09, 9, 8882
0.09, 10, 8869
0.09, 11, 8808
0.09, 12, 8800
0.09, 13, 8816
0.09, 14, 8841
0.09, 15, 8905
0.09, 16, 8826
0.09, 17, 8860
0.09, 18, 8889
0.09, 19, 8820
0.09, 20, 8835
0.09, 21, 8877
0.09, 22, 8888
0.09, 23, 8882
0.09, 24, 8922
0.09, 25, 8881
0.09, 26, 8865
0.09, 27, 8859
0.09, 28, 8806
0.09, 29, 8867
0.10, 0, 8888
0.10, 1, 8757
0.10, 2, 8771
0.10, 3, 8861
0.10, 4, 8843
0.10, 5, 8843
0.10, 6, 8852
0.10, 7, 8809
0.10, 8, 9097
0.10, 9, 8820
0.10, 10, 8854
0.10, 11, 8838
0.10, 12, 8843
0.10, 13, 9099
0.10, 14, 8872
0.10, 15, 8836
0.10, 16, 8835
0.10, 17, 8841
0.10, 18, 8859
0.10, 19, 8898
0.10, 20, 8873
0.10, 21, 8894
0.10, 22, 8867
0.10, 23, 8883
0.10, 24, 8877
0.10, 25, 8898
0.10, 26, 8889
0.10, 27, 8858
0.10, 28, 8834
0.10, 29, 8843
0.11, 0, 8840
0.11, 1, 8844
0.11, 2, 8794
0.11, 3, 8819
0.11, 4, 8782
0.11, 5, 8903
0.11, 6, 8841
0.11, 7, 8847
0.11, 8, 8834
0.11, 9, 8834
0.11, 10, 8804
0.11, 11, 8862
0.11, 12, 8867
0.11, 13, 8889
0.11, 14, 8859
0.11, 15, 8830
0.11, 16, 8862
0.11, 17, 8867
0.11, 18, 8831
0.11, 19, 8863
0.11, 20, 8860
0.11, 21, 8876
0.11, 22, 8835
0.11, 23, 8842
0.11, 24, 8856
0.11, 25, 8862
0.11, 26, 8880
0.11, 27, 8856
0.11, 28, 8871
0.11, 29, 8902
0.12, 0, 8889
0.12, 1, 8814
0.12, 2, 8774
0.12, 3, 8847
0.12, 4, 8794
0.12, 5, 8875
0.12, 6, 8800
0.12, 7, 8860
0.12, 8, 8823
0.12, 9, 8883
0.12, 10, 8834
0.12, 11, 8829
0.12, 12, 8854
0.12, 13, 8862
0.12, 14, 8874
0.12, 15, 8766
0.12, 16, 8795
0.12, 17, 8830
0.12, 18, 8866
0.12, 19, 8828
0.12, 20, 8865
0.12, 21, 8889
0.12, 22, 8814
0.12, 23, 8846
0.12, 24, 8859
0.12, 25, 8863
0.12, 26, 8869
0.12, 27, 8888
0.12, 28, 8803
0.12, 29, 8834
0.13, 0, 8862
0.13, 1, 8844
0.13, 2, 8673
0.13, 3, 8842
0.13, 4, 8831
0.13, 5, 8743
0.13, 6, 8820
0.13, 7, 8845
0.13, 8, 8808
0.13, 9, 8866
0.13, 10, 8808
0.13, 11, 8850
0.13, 12, 8812
0.13, 13, 8878
0.13, 14, 8869
0.13, 15, 8887
0.13, 16, 8819
0.13, 17, 8872
0.13, 18, 8899
0.13, 19, 8834
0.13, 20, 8849
0.13, 21, 8844
0.13, 22, 8845
0.13, 23, 8874
0.13, 24, 8873
0.13, 25, 8861
0.13, 26, 8831
0.13, 27, 8889
0.13, 28, 8842
0.13, 29, 8862
0.14, 0, 8829
0.14, 1, 8802
0.14, 2, 8832
0.14, 3, 8803
